id,statename,lganame,wardname,urban,landuse,NDVI,processed_date,geometry_x
11072909,Borno,Kala Balge,Kalma Kumaga,No,farmland,0.0905036812135022,2024-03-29,"POLYGON ((14.3980148 12.3978783, 14.351331 12.4220549, 14.3366435 12.4031925, 14.3654705 12.3824937, 14.3809222 12.3949806, 14.3866984 12.3712487, 14.3970414 12.3845971, 14.4608402 12.3643861, 14.4565365 12.3584339, 14.4601477 12.3618149, 14.4665172 12.3600127, 14.4703744 12.3564932, 14.4759497 12.3463393, 14.4815858 12.3527644, 14.485172 12.3522197, 14.5020956 12.329165, 14.4846796 12.3514228, 14.4818338 12.3522432, 14.4786179 12.3464214, 14.4748521 12.3459078, 14.4679314 12.3581581, 14.4662259 12.3595547, 14.4652097 12.3600019, 14.4644086 12.3601763, 14.4627652 12.3595771, 14.4615742 12.3587002, 14.4574211 12.3577418, 14.4552479 12.3567148, 14.4501942 12.3528782, 14.4482075 12.3499269, 14.4420765 12.3532879, 14.4470183 12.3494814, 14.4501749 12.3505659, 14.4576602 12.3576399, 14.4680043 12.3579876, 14.4745238 12.3424881, 14.4999382 12.3267854, 14.5001526 12.2971505, 14.5380878 12.2815536, 14.5478725 12.2307256, 14.5878696 12.219569, 14.5686886 12.38785, 14.4871473 12.4355917, 14.4965457 12.4510765, 14.4777487 12.5776855, 14.4110589 12.5760905, 14.4559477 12.5252396, 14.4269369 12.4528366, 14.4266795 12.4115981, 14.4768905 12.3979343, 14.4189351 12.3830825, 14.3980148 12.3978783))"
11072909,Borno,Kala Balge,Sigal Karche,No,farmland,0.0905036812135022,2024-03-29,"POLYGON ((14.3980148 12.3978783, 14.351331 12.4220549, 14.3366435 12.4031925, 14.3654705 12.3824937, 14.3809222 12.3949806, 14.3866984 12.3712487, 14.3970414 12.3845971, 14.4608402 12.3643861, 14.4565365 12.3584339, 14.4601477 12.3618149, 14.4665172 12.3600127, 14.4703744 12.3564932, 14.4759497 12.3463393, 14.4815858 12.3527644, 14.485172 12.3522197, 14.5020956 12.329165, 14.4846796 12.3514228, 14.4818338 12.3522432, 14.4786179 12.3464214, 14.4748521 12.3459078, 14.4679314 12.3581581, 14.4662259 12.3595547, 14.4652097 12.3600019, 14.4644086 12.3601763, 14.4627652 12.3595771, 14.4615742 12.3587002, 14.4574211 12.3577418, 14.4552479 12.3567148, 14.4501942 12.3528782, 14.4482075 12.3499269, 14.4420765 12.3532879, 14.4470183 12.3494814, 14.4501749 12.3505659, 14.4576602 12.3576399, 14.4680043 12.3579876, 14.4745238 12.3424881, 14.4999382 12.3267854, 14.5001526 12.2971505, 14.5380878 12.2815536, 14.5478725 12.2307256, 14.5878696 12.219569, 14.5686886 12.38785, 14.4871473 12.4355917, 14.4965457 12.4510765, 14.4777487 12.5776855, 14.4110589 12.5760905, 14.4559477 12.5252396, 14.4269369 12.4528366, 14.4266795 12.4115981, 14.4768905 12.3979343, 14.4189351 12.3830825, 14.3980148 12.3978783))"
296327308,Borno,Kala Balge,Sigal Karche,No,farmland,0.09324594649443958,2024-03-29,"POLYGON ((14.4178087 12.3096647, 14.4341483 12.2977061, 14.5007157 12.297907, 14.4944059 12.3180583, 14.4751332 12.3021314, 14.4178087 12.3096647))"
296327316,Borno,Kala Balge,Sigal Karche,No,farmland,0.11857863805765109,2024-03-29,"POLYGON ((14.4492546 12.3254259, 14.4730583 12.3194868, 14.4999382 12.3267854, 14.4778373 12.3436729, 14.4492546 12.3254259))"
296327326,Borno,Kala Balge,Sigal Karche,No,farmland,0.0892464383815941,2024-03-29,"POLYGON ((14.4668827 12.3184469, 14.471901 12.3028961, 14.501596 12.3171046, 14.4924419 12.322326, 14.4668827 12.3184469))"
11072909,Borno,Kala Balge,Rann,No,farmland,0.0905036812135022,2024-03-29,"POLYGON ((14.3980148 12.3978783, 14.351331 12.4220549, 14.3366435 12.4031925, 14.3654705 12.3824937, 14.3809222 12.3949806, 14.3866984 12.3712487, 14.3970414 12.3845971, 14.4608402 12.3643861, 14.4565365 12.3584339, 14.4601477 12.3618149, 14.4665172 12.3600127, 14.4703744 12.3564932, 14.4759497 12.3463393, 14.4815858 12.3527644, 14.485172 12.3522197, 14.5020956 12.329165, 14.4846796 12.3514228, 14.4818338 12.3522432, 14.4786179 12.3464214, 14.4748521 12.3459078, 14.4679314 12.3581581, 14.4662259 12.3595547, 14.4652097 12.3600019, 14.4644086 12.3601763, 14.4627652 12.3595771, 14.4615742 12.3587002, 14.4574211 12.3577418, 14.4552479 12.3567148, 14.4501942 12.3528782, 14.4482075 12.3499269, 14.4420765 12.3532879, 14.4470183 12.3494814, 14.4501749 12.3505659, 14.4576602 12.3576399, 14.4680043 12.3579876, 14.4745238 12.3424881, 14.4999382 12.3267854, 14.5001526 12.2971505, 14.5380878 12.2815536, 14.5478725 12.2307256, 14.5878696 12.219569, 14.5686886 12.38785, 14.4871473 12.4355917, 14.4965457 12.4510765, 14.4777487 12.5776855, 14.4110589 12.5760905, 14.4559477 12.5252396, 14.4269369 12.4528366, 14.4266795 12.4115981, 14.4768905 12.3979343, 14.4189351 12.3830825, 14.3980148 12.3978783))"
296327308,Borno,Kala Balge,Rann,No,farmland,0.09324594649443958,2024-03-29,"POLYGON ((14.4178087 12.3096647, 14.4341483 12.2977061, 14.5007157 12.297907, 14.4944059 12.3180583, 14.4751332 12.3021314, 14.4178087 12.3096647))"
296327310,Borno,Kala Balge,Rann,No,farmland,0.11939979880998873,2024-03-29,"POLYGON ((14.4142309 12.3213028, 14.4299939 12.3136028, 14.4339962 12.3254536, 14.4142309 12.3287621, 14.4142309 12.3213028))"
296327311,Borno,Kala Balge,Rann,No,farmland,0.12899299421553528,2024-03-29,"POLYGON ((14.4245962 12.3641697, 14.4320428 12.3689525, 14.4319634 12.3695109, 14.4275964 12.3691851, 14.4245962 12.3641697))"
296327313,Borno,Kala Balge,Rann,No,farmland,0.15709323942560632,2024-03-29,"POLYGON ((14.4264427 12.3651515, 14.4253647 12.3636488, 14.4231245 12.3617183, 14.4284077 12.3654202, 14.4264427 12.3651515))"
